DateTime,MinuteOfDay,Day,Month,Tair,WS,RH,SS3,GHI3,P
01/09/2021 06:00,360,1,9,0,0,0,-2574.036942,-2574.036942,0
01/09/2021 06:15,375,1,9,0,0,0,-2473.369154,-2473.369154,0
01/09/2021 06:30,390,1,9,0,0,0,-2310.489089,-2310.489089,0
01/09/2021 06:45,405,1,9,0,0,0,-2088.375907,-2088.375907,0
01/09/2021 07:00,420,1,9,0,0,0,-1818.199179,-1818.199179,0
01/09/2021 07:15,435,1,9,15.2,0.935,0.805,-1520.055508,-1520.055508,923
01/09/2021 07:30,450,1,9,15.3,1.32,0.81,-1215.876015,-1215.876015,973
01/09/2021 07:45,465,1,9,15.4,1.375,0.79,-927.1089346,-927.1089346,1115
01/09/2021 08:00,480,1,9,15.6,1.42,0.79,-670.5393839,-670.5393839,1396
01/09/2021 08:15,495,1,9,15.7,1.45,0.78,-451.5433036,-451.5433036,1588
01/09/2021 08:30,510,1,9,15.7,1.44,0.77,-270.8145206,-270.8145206,1677
01/09/2021 08:45,525,1,9,15.9,1.315,0.765,-118.0266708,-118.0266708,1735
01/09/2021 09:00,540,1,9,16,1.07,0.75,30.45743119,30.45743119,2116
01/09/2021 09:15,555,1,9,16.15,1.2,0.735,194.569129,194.569129,2252
01/09/2021 09:30,570,1,9,16.3,1.36,0.72,389.2218441,389.2218441,2361
01/09/2021 09:45,585,1,9,16.45,1.305,0.7,626.5708521,626.5708521,2003
01/09/2021 10:00,600,1,9,16.5,1.34,0.69,911.0041669,911.0041669,2480
01/09/2021 10:15,615,1,9,16.6,1.595,0.7,1238.786875,1238.786875,2818
01/09/2021 10:30,630,1,9,16.7,1.44,0.71,1584.830301,1584.830301,3339
01/09/2021 10:45,645,1,9,16.9,1.55,0.695,1918.767519,1918.767519,4349
01/09/2021 11:00,660,1,9,17.1,1.5,0.67,2210.231605,2210.231605,4771
01/09/2021 11:15,675,1,9,17.2,1.545,0.655,2430.503266,2430.503266,4245
