DateTime,MinuteOfDay,Day,Month,Tair,WS,RH,SS7,GHI7,P
01/09/2021 06:00,360,1,9,0,0,0,832.0370221,832.0370221,0
01/09/2021 06:15,375,1,9,0,0,0,834.6239093,834.6239093,0
01/09/2021 06:30,390,1,9,0,0,0,837.1957153,837.1957153,0
01/09/2021 06:45,405,1,9,0,0,0,839.7523841,839.7523841,0
01/09/2021 07:00,420,1,9,0,0,0,842.2938598,842.2938598,0
01/09/2021 07:15,435,1,9,15.2,0.935,0.805,844.8200863,844.8200863,923
01/09/2021 07:30,450,1,9,15.3,1.32,0.81,847.3310076,847.3310076,973
01/09/2021 07:45,465,1,9,15.4,1.375,0.79,849.8265677,849.8265677,1115
01/09/2021 08:00,480,1,9,15.6,1.42,0.79,852.3067106,852.3067106,1396
01/09/2021 08:15,495,1,9,15.7,1.45,0.78,854.7713804,854.7713804,1588
01/09/2021 08:30,510,1,9,15.7,1.44,0.77,857.2205208,857.2205208,1677
01/09/2021 08:45,525,1,9,15.9,1.315,0.765,859.6540761,859.6540761,1735
01/09/2021 09:00,540,1,9,16,1.07,0.75,862.0719901,862.0719901,2116
01/09/2021 09:15,555,1,9,16.15,1.2,0.735,864.4742069,864.4742069,2252
01/09/2021 09:30,570,1,9,16.3,1.36,0.72,866.8606704,866.8606704,2361
01/09/2021 09:45,585,1,9,16.45,1.305,0.7,869.2313246,869.2313246,2003
01/09/2021 10:00,600,1,9,16.5,1.34,0.69,871.5861135,871.5861135,2480
01/09/2021 10:15,615,1,9,16.6,1.595,0.7,873.9249812,873.9249812,2818
01/09/2021 10:30,630,1,9,16.7,1.44,0.71,876.2478715,876.2478715,3339
01/09/2021 10:45,645,1,9,16.9,1.55,0.695,878.5547286,878.5547286,4349
01/09/2021 11:00,660,1,9,17.1,1.5,0.67,880.8454963,880.8454963,4771
01/09/2021 11:15,675,1,9,17.2,1.545,0.655,883.1201187,883.1201187,4245
01/09/2021 11:30,690,1,9,17.4,2,0.68,885.3785398,885.3785398,4089
01/09/2021 11:45,705,1,9,17.35,1.84,0.67,887.6207035,887.6207035,4083
01/09/2021 12:00,720,1,9,17.7,1.44,0.65,889.8465539,889.8465539,4262
01/09/2021 12:15,735,1,9,17.55,1.565,0.65,892.0560349,892.0560349,3993
01/09/2021 12:30,750,1,9,17.7,1.4,0.65,894.2490906,894.2490906,3580
01/09/2021 12:45,765,1,9,17.7,1.575,0.645,896.4256648,896.4256648,4332
01/09/2021 13:00,780,1,9,18.1,1.13,0.65,898.5857017,898.5857017,3446
01/09/2021 13:15,795,1,9,17.8,1.675,0.66,900.7291451,900.7291451,3774
01/09/2021 13:30,810,1,9,17.7,1.85,0.67,902.8559392,902.8559392,2531
01/09/2021 13:45,825,1,9,17.7,1.81,0.67,904.9660278,904.9660278,2210
01/09/2021 14:00,840,1,9,17.6,1.48,0.68,907.059355,907.059355,2148
01/09/2021 14:15,855,1,9,17.85,1.545,0.67,909.1358647,909.1358647,1569
01/09/2021 14:30,870,1,9,17.7,1.54,0.68,911.1955011,911.1955011,1578
01/09/2021 14:45,885,1,9,17.8,1.345,0.665,913.2382079,913.2382079,1717
01/09/2021 15:00,900,1,9,17.9,1.15,0.68,915.2639293,915.2639293,1374
01/09/2021 15:15,915,1,9,17.95,1.375,0.67,917.2726092,917.2726092,1350
01/09/2021 15:30,930,1,9,17.9,1.69,0.68,919.2641916,919.2641916,1483
01/09/2021 15:45,945,1,9,17.85,1.44,0.685,921.2386205,921.2386205,1622
01/09/2021 16:00,960,1,9,17.8,1.32,0.68,923.1958399,923.1958399,1361
01/09/2021 16:15,975,1,9,17.55,1.5,0.69,925.1357938,925.1357938,1081
01/09/2021 16:30,990,1,9,17.5,1.29,0.7,927.0584262,927.0584262,860
01/09/2021 16:45,1005,1,9,0,0,0,928.9636811,928.9636811,0
01/09/2021 17:00,1020,1,9,0,0,0,930.8515024,930.8515024,0
01/09/2021 17:15,1035,1,9,0,0,0,932.7218341,932.7218341,0
01/09/2021 17:30,1050,1,9,0,0,0,934.5746203,934.5746203,0
01/09/2021 17:45,1065,1,9,0,0,0,936.4098049,936.4098049,0
01/09/2021 18:00,1080,1,9,0,0,0,938.227332,938.227332,0
01/09/2021 18:15,1095,1,9,0,0,0,940.0271454,940.0271454,0
01/09/2021 18:30,1110,1,9,0,0,0,941.8091893,941.8091893,0
01/09/2021 18:45,1125,1,9,0,0,0,943.5734075,943.5734075,0
01/09/2021 19:00,1140,1,9,0,0,0,945.3197441,945.3197441,0
01/09/2021 19:15,1155,1,9,0,0,0,947.0481431,947.0481431,0
01/09/2021 19:30,1170,1,9,0,0,0,948.7585485,948.7585485,0
01/09/2021 19:45,1185,1,9,0,0,0,950.4509042,950.4509042,0
02/09/2021 06:00,360,2,9,8.9,0.9,0.99,952.1251542,952.1251542,739
02/09/2021 06:15,375,2,9,10.15,0.46,0.995,953.7812426,953.7812426,1067
02/09/2021 06:30,390,2,9,11.6,0.06,0.99,955.4191133,955.4191133,1307
02/09/2021 06:45,405,2,9,12.65,0.03,0.975,957.0387103,957.0387103,1449
02/09/2021 07:00,420,2,9,13.9,0,0.96,958.6399777,958.6399777,1450
02/09/2021 07:15,435,2,9,14.7,0.46,0.9,960.2228593,960.2228593,1756
02/09/2021 07:30,450,2,9,15.8,1.11,0.84,961.7872992,961.7872992,2428
02/09/2021 07:45,465,2,9,16.4,1.55,0.79,963.3332414,963.3332414,2990
02/09/2021 08:00,480,2,9,16.9,1.5,0.78,964.8606299,964.8606299,3584
02/09/2021 08:15,495,2,9,17.05,1.47,0.72,966.3694086,966.3694086,4335
02/09/2021 08:30,510,2,9,17.3,1.15,0.7,967.8595216,967.8595216,4895
02/09/2021 08:45,525,2,9,16.9,1.015,0.72,969.3309128,969.3309128,6599
02/09/2021 09:00,540,2,9,17,1.11,0.71,970.7835263,970.7835263,7192
