DateTime,MinuteOfDay,Day,Month,Tair,WS,RH,SS4,GHI4,P
01/09/2021 06:00,360,1,9,0,0,0,395.5181261,395.5181261,0
01/09/2021 06:15,375,1,9,0,0,0,342.8833999,342.8833999,0
01/09/2021 06:30,390,1,9,0,0,0,291.3271121,291.3271121,0
01/09/2021 06:45,405,1,9,0,0,0,240.926247,240.926247,0
01/09/2021 07:00,420,1,9,0,0,0,191.7577892,191.7577892,0
01/09/2021 07:15,435,1,9,15.2,0.935,0.805,143.8987231,143.8987231,923
01/09/2021 07:30,450,1,9,15.3,1.32,0.81,97.42603314,97.42603314,973
01/09/2021 07:45,465,1,9,15.4,1.375,0.79,52.41670372,52.41670372,1115
01/09/2021 08:00,480,1,9,15.6,1.42,0.79,8.947719307,8.947719307,1396
01/09/2021 08:15,495,1,9,15.7,1.45,0.78,-32.90393565,-32.90393565,1588
01/09/2021 08:30,510,1,9,15.7,1.44,0.77,-73.0612767,-73.0612767,1677
01/09/2021 08:45,525,1,9,15.9,1.315,0.765,-111.4473194,-111.4473194,1735
01/09/2021 09:00,540,1,9,16,1.07,0.75,-147.9850793,-147.9850793,2116
01/09/2021 09:15,555,1,9,16.15,1.2,0.735,-182.597572,-182.597572,2252
01/09/2021 09:30,570,1,9,16.3,1.36,0.72,-215.2078131,-215.2078131,2361
01/09/2021 09:45,585,1,9,16.45,1.305,0.7,-245.738818,-245.738818,2003
01/09/2021 10:00,600,1,9,16.5,1.34,0.69,-274.1136023,-274.1136023,2480
01/09/2021 10:15,615,1,9,16.6,1.595,0.7,-300.2551817,-300.2551817,2818
01/09/2021 10:30,630,1,9,16.7,1.44,0.71,-324.0865716,-324.0865716,3339
01/09/2021 10:45,645,1,9,16.9,1.55,0.695,-345.5307876,-345.5307876,4349
01/09/2021 11:00,660,1,9,17.1,1.5,0.67,-364.5108453,-364.5108453,4771
01/09/2021 11:15,675,1,9,17.2,1.545,0.655,-380.9497602,-380.9497602,4245
01/09/2021 11:30,690,1,9,17.4,2,0.68,-394.7691568,-394.7691568,4089
01/09/2021 11:45,705,1,9,17.35,1.84,0.67,-405.8850953,-405.8850953,4083
01/09/2021 12:00,720,1,9,17.7,1.44,0.65,-414.2434386,-414.2434386,4262
01/09/2021 12:15,735,1,9,17.55,1.565,0.65,-419.9148246,-419.9148246,3993
01/09/2021 12:30,750,1,9,17.7,1.4,0.65,-423.0010853,-423.0010853,3580
01/09/2021 12:45,765,1,9,17.7,1.575,0.645,-423.6039611,-423.6039611,4332
01/09/2021 13:00,780,1,9,18.1,1.13,0.65,-421.8248272,-421.8248272,3446
01/09/2021 13:15,795,1,9,17.8,1.675,0.66,-417.7649674,-417.7649674,3774
01/09/2021 13:30,810,1,9,17.7,1.85,0.67,-411.5256655,-411.5256655,2531
01/09/2021 13:45,825,1,9,17.7,1.81,0.67,-403.2082055,-403.2082055,2210
01/09/2021 14:00,840,1,9,17.6,1.48,0.68,-392.913871,-392.913871,2148
01/09/2021 14:15,855,1,9,17.85,1.545,0.67,-380.7439461,-380.7439461,1569
01/09/2021 14:30,870,1,9,17.7,1.54,0.68,-366.7997144,-366.7997144,1578
01/09/2021 14:45,885,1,9,17.8,1.345,0.665,-351.1824598,-351.1824598,1717
01/09/2021 15:00,900,1,9,17.9,1.15,0.68,-333.9934662,-333.9934662,1374
01/09/2021 15:15,915,1,9,17.95,1.375,0.67,-315.3340173,-315.3340173,1350
01/09/2021 15:30,930,1,9,17.9,1.69,0.68,-295.3053971,-295.3053971,1483
01/09/2021 15:45,945,1,9,17.85,1.44,0.685,-274.0088893,-274.0088893,1622
01/09/2021 16:00,960,1,9,17.8,1.32,0.68,-251.5457778,-251.5457778,1361
