DateTime,MinuteOfDay,Day,Month,Tair,WS,RH,SS8,GHI8,P
01/09/2021 06:00,360,1,9,0,0,0,317.417115,317.417115,0
01/09/2021 06:15,375,1,9,0,0,0,316.6469199,316.6469199,0
01/09/2021 06:30,390,1,9,0,0,0,315.8771388,315.8771388,0
01/09/2021 06:45,405,1,9,0,0,0,315.1077728,315.1077728,0
01/09/2021 07:00,420,1,9,0,0,0,314.3388231,314.3388231,0
01/09/2021 07:15,435,1,9,15.2,0.935,0.805,313.5702908,313.5702908,923
01/09/2021 07:30,450,1,9,15.3,1.32,0.81,312.8021773,312.8021773,973
01/09/2021 07:45,465,1,9,15.4,1.375,0.79,312.0344836,312.0344836,1115
01/09/2021 08:00,480,1,9,15.6,1.42,0.79,311.267211,311.267211,1396
01/09/2021 08:15,495,1,9,15.7,1.45,0.78,310.5003606,310.5003606,1588
01/09/2021 08:30,510,1,9,15.7,1.44,0.77,309.7339337,309.7339337,1677
01/09/2021 08:45,525,1,9,15.9,1.315,0.765,308.9679314,308.9679314,1735
01/09/2021 09:00,540,1,9,16,1.07,0.75,308.2023549,308.2023549,2116
01/09/2021 09:15,555,1,9,16.15,1.2,0.735,307.4372054,307.4372054,2252
01/09/2021 09:30,570,1,9,16.3,1.36,0.72,306.6724842,306.6724842,2361
01/09/2021 09:45,585,1,9,16.45,1.305,0.7,305.9081923,305.9081923,2003
01/09/2021 10:00,600,1,9,16.5,1.34,0.69,305.144331,305.144331,2480
01/09/2021 10:15,615,1,9,16.6,1.595,0.7,304.3809016,304.3809016,2818
01/09/2021 10:30,630,1,9,16.7,1.44,0.71,303.617905,303.617905,3339
01/09/2021 10:45,645,1,9,16.9,1.55,0.695,302.8553427,302.8553427,4349
01/09/2021 11:00,660,1,9,17.1,1.5,0.67,302.0932156,302.0932156,4771
01/09/2021 11:15,675,1,9,17.2,1.545,0.655,301.3315251,301.3315251,4245
01/09/2021 11:30,690,1,9,17.4,2,0.68,300.5702724,300.5702724,4089
01/09/2021 11:45,705,1,9,17.35,1.84,0.67,299.8094586,299.8094586,4083
01/09/2021 12:00,720,1,9,17.7,1.44,0.65,299.0490848,299.0490848,4262
01/09/2021 12:15,735,1,9,17.55,1.565,0.65,298.2891524,298.2891524,3993
01/09/2021 12:30,750,1,9,17.7,1.4,0.65,297.5296625,297.5296625,3580
01/09/2021 12:45,765,1,9,17.7,1.575,0.645,296.7706162,296.7706162,4332
