DateTime,MinuteOfDay,Day,Month,Tair,WS,RH,SS5,GHI5,P
01/09/2021 06:00,360,1,9,0,0,0,-2082.58943,-2082.58943,0
01/09/2021 06:15,375,1,9,0,0,0,-2084.219923,-2084.219923,0
01/09/2021 06:30,390,1,9,0,0,0,-2085.312576,-2085.312576,0
01/09/2021 06:45,405,1,9,0,0,0,-2085.86666,-2085.86666,0
01/09/2021 07:00,420,1,9,0,0,0,-2085.881446,-2085.881446,0
01/09/2021 07:15,435,1,9,15.2,0.935,0.805,-2085.356203,-2085.356203,923
01/09/2021 07:30,450,1,9,15.3,1.32,0.81,-2084.290202,-2084.290202,973
01/09/2021 07:45,465,1,9,15.4,1.375,0.79,-2082.682714,-2082.682714,1115
01/09/2021 08:00,480,1,9,15.6,1.42,0.79,-2080.533008,-2080.533008,1396
01/09/2021 08:15,495,1,9,15.7,1.45,0.78,-2077.840356,-2077.840356,1588
01/09/2021 08:30,510,1,9,15.7,1.44,0.77,-2074.604027,-2074.604027,1677
01/09/2021 08:45,525,1,9,15.9,1.315,0.765,-2070.823292,-2070.823292,1735
01/09/2021 09:00,540,1,9,16,1.07,0.75,-2066.497421,-2066.497421,2116
01/09/2021 09:15,555,1,9,16.15,1.2,0.735,-2061.625685,-2061.625685,2252
01/09/2021 09:30,570,1,9,16.3,1.36,0.72,-2056.207354,-2056.207354,2361
01/09/2021 09:45,585,1,9,16.45,1.305,0.7,-2050.241698,-2050.241698,2003
01/09/2021 10:00,600,1,9,16.5,1.34,0.69,-2043.727988,-2043.727988,2480
01/09/2021 10:15,615,1,9,16.6,1.595,0.7,-2036.665494,-2036.665494,2818
01/09/2021 10:30,630,1,9,16.7,1.44,0.71,-2029.053487,-2029.053487,3339
01/09/2021 10:45,645,1,9,16.9,1.55,0.695,-2020.891236,-2020.891236,4349
01/09/2021 11:00,660,1,9,17.1,1.5,0.67,-2012.178013,-2012.178013,4771
01/09/2021 11:15,675,1,9,17.2,1.545,0.655,-2002.913088,-2002.913088,4245
01/09/2021 11:30,690,1,9,17.4,2,0.68,-1993.097121,-1993.097121,4089
01/09/2021 11:45,705,1,9,17.35,1.84,0.67,-1982.73634,-1982.73634,4083
01/09/2021 12:00,720,1,9,17.7,1.44,0.65,-1971.83836,-1971.83836,4262
01/09/2021 12:15,735,1,9,17.55,1.565,0.65,-1960.410799,-1960.410799,3993
01/09/2021 12:30,750,1,9,17.7,1.4,0.65,-1948.461273,-1948.461273,3580
01/09/2021 12:45,765,1,9,17.7,1.575,0.645,-1935.99749,-1935.99749,4332
01/09/2021 13:00,780,1,9,18.1,1.13,0.65,-1923.027525,-1923.027525,3446
01/09/2021 13:15,795,1,9,17.8,1.675,0.66,-1909.559541,-1909.559541,3774
01/09/2021 13:30,810,1,9,17.7,1.85,0.67,-1895.601705,-1895.601705,2531
01/09/2021 13:45,825,1,9,17.7,1.81,0.67,-1881.16218,-1881.16218,2210
01/09/2021 14:00,840,1,9,17.6,1.48,0.68,-1866.249131,-1866.249131,2148
01/09/2021 14:15,855,1,9,17.85,1.545,0.67,-1850.870723,-1850.870723,1569
01/09/2021 14:30,870,1,9,17.7,1.54,0.68,-1835.035122,-1835.035122,1578
01/09/2021 14:45,885,1,9,17.8,1.345,0.665,-1818.750492,-1818.750492,1717
01/09/2021 15:00,900,1,9,17.9,1.15,0.68,-1802.024997,-1802.024997,1374
01/09/2021 15:15,915,1,9,17.95,1.375,0.67,-1784.866803,-1784.866803,1350
01/09/2021 15:30,930,1,9,17.9,1.69,0.68,-1767.284074,-1767.284074,1483
01/09/2021 15:45,945,1,9,17.85,1.44,0.685,-1749.284976,-1749.284976,1622
01/09/2021 16:00,960,1,9,17.8,1.32,0.68,-1730.877672,-1730.877672,1361
01/09/2021 16:15,975,1,9,17.55,1.5,0.69,-1712.070329,-1712.070329,1081
01/09/2021 16:30,990,1,9,17.5,1.29,0.7,-1692.871111,-1692.871111,860
01/09/2021 16:45,1005,1,9,0,0,0,-1673.288182,-1673.288182,0
01/09/2021 17:00,1020,1,9,0,0,0,-1653.329707,-1653.329707,0
01/09/2021 17:15,1035,1,9,0,0,0,-1633.003852,-1633.003852,0
01/09/2021 17:30,1050,1,9,0,0,0,-1612.318781,-1612.318781,0
01/09/2021 17:45,1065,1,9,0,0,0,-1591.282659,-1591.282659,0
01/09/2021 18:00,1080,1,9,0,0,0,-1569.903651,-1569.903651,0
01/09/2021 18:15,1095,1,9,0,0,0,-1548.189922,-1548.189922,0
01/09/2021 18:30,1110,1,9,0,0,0,-1526.149636,-1526.149636,0
01/09/2021 18:45,1125,1,9,0,0,0,-1503.790958,-1503.790958,0
01/09/2021 19:00,1140,1,9,0,0,0,-1481.122054,-1481.122054,0
01/09/2021 19:15,1155,1,9,0,0,0,-1458.151087,-1458.151087,0
01/09/2021 19:30,1170,1,9,0,0,0,-1434.886224,-1434.886224,0
01/09/2021 19:45,1185,1,9,0,0,0,-1411.335628,-1411.335628,0
02/09/2021 06:00,360,2,9,8.9,0.9,0.99,-1387.507465,-1387.507465,739
02/09/2021 06:15,375,2,9,10.15,0.46,0.995,-1363.409899,-1363.409899,1067
02/09/2021 06:30,390,2,9,11.6,0.06,0.99,-1339.051095,-1339.051095,1307
02/09/2021 06:45,405,2,9,12.65,0.03,0.975,-1314.439218,-1314.439218,1449
02/09/2021 07:00,420,2,9,13.9,0,0.96,-1289.582433,-1289.582433,1450
02/09/2021 07:15,435,2,9,14.7,0.46,0.9,-1264.488905,-1264.488905,1756
02/09/2021 07:30,450,2,9,15.8,1.11,0.84,-1239.166799,-1239.166799,2428
02/09/2021 07:45,465,2,9,16.4,1.55,0.79,-1213.624279,-1213.624279,2990
02/09/2021 08:00,480,2,9,16.9,1.5,0.78,-1187.86951,-1187.86951,3584
02/09/2021 08:15,495,2,9,17.05,1.47,0.72,-1161.910657,-1161.910657,4335
02/09/2021 08:30,510,2,9,17.3,1.15,0.7,-1135.755885,-1135.755885,4895
02/09/2021 08:45,525,2,9,16.9,1.015,0.72,-1109.413359,-1109.413359,6599
02/09/2021 09:00,540,2,9,17,1.11,0.71,-1082.891243,-1082.891243,7192
02/09/2021 09:15,555,2,9,17.2,1.315,0.705,-1056.197703,-1056.197703,5196
02/09/2021 09:30,570,2,9,17.3,1.95,0.71,-1029.340904,-1029.340904,7034
02/09/2021 09:45,585,2,9,17.4,1.985,0.7,-1002.329009,-1002.329009,2355
02/09/2021 10:00,600,2,9,18,2.1,0.67,-975.1701841,-975.1701841,7311
02/09/2021 10:15,615,2,9,18.2,1.695,0.68,-947.8725942,-947.8725942,9339
02/09/2021 10:30,630,2,9,18.3,1.5,0.67,-920.4444038,-920.4444038,8431
02/09/2021 10:45,645,2,9,18.3,1.185,0.675,-892.893778,-892.893778,11071
02/09/2021 11:00,660,2,9,18.6,1.03,0.65,-865.2288814,-865.2288814,11618
02/09/2021 11:15,675,2,9,19.75,1.495,0.645,-837.457879,-837.457879,9389
02/09/2021 11:30,690,2,9,19,1.93,0.64,-809.5889355,-809.5889355,6029
02/09/2021 11:45,705,2,9,19.15,1.35,0.655,-781.6302159,-781.6302159,7393
02/09/2021 12:00,720,2,9,19.5,1.21,0.64,-753.589885,-753.589885,5461
02/09/2021 12:15,735,2,9,19.6,1.84,0.635,-725.4762462,-725.4762462,6151
02/09/2021 12:30,750,2,9,19.9,1.03,0.62,-697.2981583,-697.2981583,5872
02/09/2021 12:45,765,2,9,20.2,1.375,0.62,-669.0646183,-669.0646183,3721
02/09/2021 13:00,780,2,9,20.3,0.94,0.61,-640.7846235,-640.7846235,5278
02/09/2021 13:15,795,2,9,20.45,1.265,0.6,-612.4671712,-612.4671712,3938
02/09/2021 13:30,810,2,9,20.4,2.31,0.64,-584.1212586,-584.1212586,3920
02/09/2021 13:45,825,2,9,20.8,2.375,0.615,-555.7558829,-555.7558829,3703
02/09/2021 14:00,840,2,9,20.7,2.41,0.61,-527.3800415,-527.3800415,7042
02/09/2021 14:15,855,2,9,21.2,2.79,0.595,-499.0027314,-499.0027314,10327
02/09/2021 14:30,870,2,9,21.1,2.45,0.58,-470.6329501,-470.6329501,8750
02/09/2021 14:45,885,2,9,21.1,1.945,0.58,-442.2796947,-442.2796947,8247
02/09/2021 15:00,900,2,9,21.1,1.65,0.58,-413.9519624,-413.9519624,8320
02/09/2021 15:15,915,2,9,21.1,1.18,0.58,-385.6587506,-385.6587506,6025
02/09/2021 15:30,930,2,9,22.2,0.82,0.56,-357.4090564,-357.4090564,4876
02/09/2021 15:45,945,2,9,21.05,2.385,0.595,-329.2118771,-329.2118771,5117
02/09/2021 16:00,960,2,9,20.4,1.81,0.63,-301.07621,-301.07621,4690
02/09/2021 16:15,975,2,9,21,1.295,0.595,-273.0110522,-273.0110522,3969
02/09/2021 16:30,990,2,9,20.8,2.02,0.61,-245.0254011,-245.0254011,3236
02/09/2021 16:45,1005,2,9,20.55,2.58,0.615,-217.1282538,-217.1282538,2639
02/09/2021 17:00,1020,2,9,20.3,1.83,0.62,-189.3286076,-189.3286076,2120
02/09/2021 17:15,1035,2,9,19.8,1.865,0.655,-161.6354598,-161.6354598,1574
02/09/2021 17:30,1050,2,9,19.2,1.77,0.68,-134.0578075,-134.0578075,1137
02/09/2021 17:45,1065,2,9,0,0,0,-106.604887,-106.604887,0
02/09/2021 18:00,1080,2,9,0,0,0,-79.28688979,-79.28688979,0
02/09/2021 18:15,1095,2,9,0,0,0,-52.11424638,-52.11424638,0
02/09/2021 18:30,1110,2,9,0,0,0,-25.09738723,-25.09738723,0
02/09/2021 18:45,1125,2,9,0,0,0,1.753257164,1.753257164,0
02/09/2021 19:00,1140,2,9,0,0,0,28.42725633,28.42725633,0
02/09/2021 19:15,1155,2,9,0,0,0,54.91417978,54.91417978,0
02/09/2021 19:30,1170,2,9,0,0,0,81.20359705,81.20359705,0
02/09/2021 19:45,1185,2,9,0,0,0,107.2850776,107.2850776,0
03/09/2021 06:00,360,3,9,11.6,1.01,1,133.1481911,133.1481911,435
03/09/2021 06:15,375,3,9,12.6,1.82,0.98,158.7825069,158.7825069,570
03/09/2021 06:30,390,3,9,13.1,1.93,0.97,184.1775946,184.1775946,722
03/09/2021 06:45,405,3,9,13.7,1.77,0.955,209.3230238,209.3230238,935
03/09/2021 07:00,420,3,9,14.6,1.77,0.92,234.2083639,234.2083639,1207
03/09/2021 07:15,435,3,9,15.35,1.635,0.88,258.8231844,258.8231844,1655
03/09/2021 07:30,450,3,9,16,1.6,0.85,283.1570549,283.1570549,2400
03/09/2021 07:45,465,3,9,16.35,2.81,0.825,307.1995449,307.1995449,3043
03/09/2021 08:00,480,3,9,17.1,2.9,0.8,330.940224,330.940224,3574
03/09/2021 08:15,495,3,9,17.55,3.415,0.78,354.3686615,354.3686615,4196
03/09/2021 08:30,510,3,9,17.8,2.8,0.76,377.4744272,377.4744272,4786
03/09/2021 08:45,525,3,9,18.35,3.1,0.745,400.2470904,400.2470904,5324
03/09/2021 09:00,540,3,9,18.4,3.17,0.74,422.6762208,422.6762208,5814
03/09/2021 09:15,555,3,9,18.75,2.605,0.72,444.7513877,444.7513877,6384
03/09/2021 09:30,570,3,9,18.9,3.32,0.71,466.4621608,466.4621608,6970
03/09/2021 09:45,585,3,9,19.15,2.72,0.705,487.7981096,487.7981096,7455
03/09/2021 10:00,600,3,9,19.7,3.01,0.68,508.7488036,508.7488036,7804
03/09/2021 10:15,615,3,9,19.95,2.285,0.68,529.3038123,529.3038123,8220
03/09/2021 10:30,630,3,9,20.1,2.22,0.66,549.4527052,549.4527052,8651
03/09/2021 10:45,645,3,9,20.5,2.47,0.65,569.1850518,569.1850518,8969
03/09/2021 11:00,660,3,9,20.8,1.98,0.65,588.4904218,588.4904218,8843
03/09/2021 11:15,675,3,9,20.75,2.16,0.655,607.3600366,607.3600366,9638
03/09/2021 11:30,690,3,9,21.3,1.46,0.63,625.7917258,625.7917258,9935
03/09/2021 11:45,705,3,9,21.3,2.565,0.64,643.7849712,643.7849712,9898
03/09/2021 12:00,720,3,9,21.2,2.1,0.63,661.3392545,661.3392545,9826
03/09/2021 12:15,735,3,9,21.65,1.87,0.63,678.4540573,678.4540573,10082
03/09/2021 12:30,750,3,9,21.9,1.81,0.63,695.1288613,695.1288613,10079
03/09/2021 12:45,765,3,9,22.15,2.12,0.62,711.3631482,711.3631482,10142
03/09/2021 13:00,780,3,9,22.4,2.41,0.61,727.1563997,727.1563997,9822
03/09/2021 13:15,795,3,9,22.4,2.065,0.61,742.5080975,742.5080975,7656
03/09/2021 13:30,810,3,9,22.3,2.16,0.59,757.4177233,757.4177233,9128
03/09/2021 13:45,825,3,9,22.4,2.39,0.58,771.8847587,771.8847587,9713
03/09/2021 14:00,840,3,9,22.2,2.04,0.6,785.9086854,785.9086854,9330
03/09/2021 14:15,855,3,9,22.55,2.43,0.61,799.4893627,799.4893627,8922
