x, y
08/10/2023 06:24,9.99893
08/10/2023 06:49,24.99939
08/10/2023 07:14,39.99985
08/10/2023 07:40,69.99939
08/10/2023 07:53,339.9994
08/10/2023 08:05,594.99895
08/10/2023 08:18,954.99897
08/10/2023 08:23,1269.99898
08/10/2023 08:40,1584.99899
08/10/2023 08:44,1854.999
08/10/2023 08:52,2139.99947
08/10/2023 08:59,2349.99902
08/10/2023 09:19,2259.99902
08/10/2023 09:30,2454.99948
08/10/2023 09:39,2694.99995
08/10/2023 09:48,2799.99904
08/10/2023 09:56,2934.99904
08/10/2023 10:04,3144.99997
08/10/2023 10:18,3264.99951
08/10/2023 10:29,3564.99907
08/10/2023 10:44,3594.99998
08/10/2023 10:54,3669.99953
08/10/2023 11:08,3774.99999
08/10/2023 11:16,3459.99998
08/10/2023 11:16,3324.99997
08/10/2023 11:22,3189.99997
08/10/2023 11:22,3009.99996
08/10/2023 11:22,2859.9995
08/10/2023 11:22,2694.99995
08/10/2023 11:29,2514.99994
08/10/2023 11:29,2349.99902
08/10/2023 11:29,2109.99993
08/10/2023 11:33,1869.99946
08/10/2023 11:49,1809.999
08/10/2023 11:53,1989.99901
08/10/2023 11:56,2304.99902
08/10/2023 11:58,2514.99994
08/10/2023 12:04,2844.99904
08/10/2023 11:58,2679.99949
08/10/2023 12:06,3084.99951
08/10/2023 12:06,3534.99952
08/10/2023 12:10,3339.99906
08/10/2023 12:14,3819.99999
08/10/2023 12:14,4135.00001
08/10/2023 12:16,4389.99956
08/10/2023 12:18,4585.00002
08/10/2023 12:27,4689.99911
08/10/2023 12:38,4749.99957
08/10/2023 12:40,5004.99912
08/10/2023 12:40,5289.99959
08/10/2023 12:40,5469.9996
08/10/2023 12:45,5649.99961
08/10/2023 12:46,5829.99961
08/10/2023 12:49,6144.99962
08/10/2023 12:49,6324.99963
08/10/2023 12:53,6579.99918
08/10/2023 12:53,6894.99919
08/10/2023 12:57,7134.99966
08/10/2023 12:57,7299.99921
08/10/2023 12:57,7600.00014
08/10/2023 12:58,7809.99969
08/10/2023 13:00,7929.99923
08/10/2023 13:00,8169.9997
