,date,actual,pred
107,2023-07-07 09:30:00,14031.0,11156.95
108,2023-07-07 09:45:00,14544.0,12061.438
109,2023-07-07 10:00:00,14722.0,12999.343
110,2023-07-07 10:15:00,12781.999999999998,14073.389
111,2023-07-07 10:30:00,17084.0,15051.685
112,2023-07-07 10:45:00,15309.0,16187.059
113,2023-07-07 11:00:00,18380.0,16152.185
114,2023-07-07 11:15:00,18594.0,16855.812
115,2023-07-07 11:30:00,18805.0,16866.883
116,2023-07-07 11:45:00,18825.0,17067.812
117,2023-07-07 12:00:00,18804.0,17613.715
118,2023-07-07 12:15:00,18678.0,17677.883
119,2023-07-07 12:30:00,18422.0,17633.098
120,2023-07-07 12:45:00,18202.0,17703.389
121,2023-07-07 13:00:00,17947.0,17387.547
122,2023-07-07 13:15:00,17762.0,17231.574
123,2023-07-07 13:30:00,17324.0,16853.623
124,2023-07-07 13:45:00,16919.0,16576.805
125,2023-07-07 14:00:00,16400.0,16094.3
126,2023-07-07 14:15:00,15861.0,15859.46
127,2023-07-07 14:30:00,15275.000000000002,15232.856
128,2023-07-07 14:45:00,14669.0,14917.654
129,2023-07-07 15:00:00,13837.0,14387.111
130,2023-07-07 15:15:00,13178.0,13899.971
131,2023-07-07 15:30:00,12350.0,13243.753
132,2023-07-07 15:45:00,11540.0,12802.613
133,2023-07-07 16:00:00,10674.0,11968.891
134,2023-07-07 16:15:00,9708.0,11206.306
135,2023-07-07 16:30:00,8630.0,10381.969
136,2023-07-07 16:45:00,7575.0,9222.776
137,2023-07-07 17:00:00,6503.999999999999,7974.614
138,2023-07-07 17:15:00,5477.0,6410.5664
139,2023-07-07 17:30:00,4458.0,4601.96
140,2023-07-07 17:45:00,3485.0,2937.8096
141,2023-07-07 18:00:00,2546.0,1684.138
142,2023-07-07 18:15:00,1773.9999999999998,917.4053
143,2023-07-07 18:30:00,1052.0,592.6052
144,2023-07-07 18:45:00,548.0,447.88022
145,2023-07-07 19:00:00,0.0,416.2714
146,2023-07-07 19:15:00,0.0,424.7349
147,2023-07-07 19:30:00,0.0,567.7991
