,actual,pred
445,9962.0,9758.568
446,14655.0,12902.433
447,14860.0,13035.864
448,6412.0,10025.623
449,4239.0,11417.248
450,10887.0,13143.91
451,20339.0,13113.68
452,12248.0,11776.225
453,1555.0,7823.8584
454,9514.0,7277.131
455,10977.0,9771.273
456,13598.0,9732.9795
457,8841.0,9936.038
458,15832.000000000002,11835.442
459,3563.0,11955.055
460,1438.9999999999998,6012.9004
461,3084.0,7047.2007
462,11744.0,9207.269
463,15597.0,8920.118
464,14575.0,7355.5938
465,14109.0,6736.4507
466,3557.0,7873.134
467,4914.0,7957.162
468,12687.000000000002,8874.059
469,8639.0,7536.284
470,5271.0,4178.87
471,1995.0,3406.897
472,3315.0000000000005,3285.8967
473,2232.0,2608.5125
474,1498.0,1710.2711
475,1606.0,1374.8279
476,1687.0,1216.9031
477,1240.0,776.2766
478,1638.0000000000002,794.9772
479,1197.0,603.3716
480,732.0,499.03088
481,0.0,413.92557
482,0.0,359.81262
483,0.0,347.5371
484,995.0,350.7015
485,1247.0,381.758
486,1148.0,784.0786
487,1377.0,1052.6494
488,2272.0,1664.478
489,3964.0,2298.0325
490,4253.0,3188.354
491,5069.0,3987.8987
492,5229.0,4543.003
493,4837.0,5407.362
494,5376.0,5997.7983
495,5297.0,6010.9604
496,5235.0,6187.661
497,7301.0,7883.513
498,10286.0,9171.0625
499,10149.0,10833.569
500,10323.0,10481.464
501,9635.0,9773.0625
502,10091.0,10678.62
503,7281.000000000001,10581.256
504,9125.0,7903.552
505,11288.0,9585.001
506,8519.0,10934.57
507,9500.0,8936.259
508,8203.0,8214.31
509,6210.0,7336.117
510,8774.0,7008.2646
511,7616.0,8213.128
512,12335.0,10389.134
513,4557.0,10754.104
514,9464.0,7034.394
515,12379.0,9077.209
516,14892.0,11675.354
517,12434.999999999998,10095.762
518,10507.0,11027.163
519,10272.0,11641.638
520,13725.0,12082.829
521,12536.999999999998,11211.514
522,8010.0,9039.241
523,8049.0,7369.948
524,3990.0,6358.469
525,3976.9999999999995,4615.838
526,4491.0,4142.1333
527,2260.0,3745.879
528,1612.0,2513.903
529,1028.0,1815.6755
530,1370.0,1300.7926
531,1104.0,698.53375
532,738.9999999999999,450.9494
533,0.0,324.39072
534,0.0,281.32993
535,0.0,340.2785
536,0.0,338.7364
537,0.0,354.76498
538,0.0,366.33212
539,0.0,376.8156
540,719.0,392.1529
541,825.0,412.43417
542,975.0,828.92096
543,1336.0,1028.7395
544,1217.0,1287.8416
545,937.0,1344.9768
546,1132.0,1768.6725
547,2746.0,2425.5083
548,2936.0,3172.073
549,4772.0,4034.6128
550,5434.0,5477.1665
551,7033.999999999999,6830.1606
552,6650.0,7374.5503
553,8964.0,7208.0874
554,11108.000000000002,9471.284
555,7141.0,9628.868
556,5447.0,7593.108
557,5591.0,6018.009
558,3686.0,5529.2046
559,7343.000000000001,4995.0503
560,7610.0,7575.1475
561,8670.0,9414.414
562,14430.999999999998,10969.208
563,7797.0,11740.03
564,8298.0,9385.786
565,13316.0,9270.03
566,5812.0,9641.236
567,6398.999999999999,9410.854
568,17516.0,12369.658
569,9369.0,12867.279
570,5708.0,9769.009
571,10182.0,9767.609
572,14616.000000000002,10740.114
573,8090.0,9156.491
574,6144.0,7842.838
575,6510.0,8675.819
576,9205.0,8331.763
577,9905.0,6529.443
578,5206.0,6352.32
579,4773.0,5891.3677
580,7651.0,6832.6826
581,11081.0,7970.8413
582,9671.0,8361.816
583,8438.0,7248.6304
584,6650.0,6194.1284
585,5506.0,5098.2393
586,1486.0000000000002,2739.2214
587,0.0,766.55133
588,1929.9999999999998,736.8513
589,983.0,446.13
590,689.0,611.33765
591,0.0,765.33276
592,0.0,201.618
593,0.0,267.88318
594,0.0,333.8436
595,0.0,372.34247
596,559.0,396.7006
597,606.0,419.3525
598,683.0,878.1684
599,776.9999999999999,1191.9751
600,880.0,1513.0048
601,1087.0,1521.2391
602,2216.0,1690.0271
603,2338.0,1871.9119
604,2360.0,2130.4834
605,2671.0,3120.4954
606,4531.0,4504.196
607,7254.0,6610.271
608,8462.0,8768.181
609,7670.0,9222.086
610,9175.0,9179.538
611,5897.0,8724.834
612,6062.0,8756.318
613,15367.000000000002,12034.558
614,7469.0,12200.188
615,4875.0,9920.646
616,6209.0,9701.508
617,9556.0,11685.809
618,13526.0,10803.83
619,8112.0,9761.576
620,8548.0,8750.689
621,8959.0,8243.352
622,6920.999999999999,6600.3306
623,5873.0,6095.0356
624,5219.0,5979.33
625,4472.0,6230.1357
626,7781.0,7168.143
627,8345.0,8920.0205
628,11028.0,10519.63
629,11473.0,9995.607
630,13229.0,11919.877
631,14223.0,12285.832
632,6817.0,9863.763
633,8517.0,7938.2764
634,9175.0,7056.468
635,7851.999999999999,7528.395
636,5378.0,5924.127
637,6573.999999999999,6185.237
638,5757.0,5164.0103
639,2544.0,3070.559
640,1419.0,2275.1985
641,1456.0,2024.9421
642,3106.0,1410.128
643,2281.0,1260.7251
644,1459.0,1007.39575
645,1463.0,884.0112
646,1101.0,712.7989
647,0.0,362.05646
648,0.0,217.49785
649,0.0,334.95554
650,0.0,352.00632
651,0.0,384.54642
652,644.0,412.22266
653,734.0,434.4554
654,857.0000000000001,911.7103
655,1167.0,1156.4252
656,1438.9999999999998,1442.511
657,2180.0,1637.8291
658,2066.0,1980.725
659,2914.0,2500.7363
660,3871.0,3649.0576
661,5955.000000000001,4592.0566
662,5424.0,5667.2886
663,5379.0,6162.7036
664,4914.0,6581.6074
665,6395.0,8165.293
666,9556.0,10507.464
667,14022.0,12433.092
668,15570.0,13789.905
669,15770.0,14378.279
670,16932.0,15037.11
671,9374.0,14142.416
672,12837.0,11714.594
673,11942.000000000002,11883.243
674,11330.0,9783.501
675,4240.0,8093.3423
676,0.0,8230.437
677,1359.0,9191.109
678,5593.0,9805.539
679,18125.0,13404.612
680,17388.0,7822.752
681,15586.0,8298.877
682,8846.0,6662.3433
683,3827.0,6530.1006
684,10241.0,6913.0503
685,3246.0,6233.6196
686,0.0,3639.6648
687,0.0,3298.7014
688,1215.0,2921.672
689,1638.0000000000002,2089.6392
690,1570.0,1517.2336
