,actual,pred
0,0.0,-7060.2383
1,0.0,-4828.69
2,0.0,-3615.8733
3,0.0,-4071.7727
4,0.0,-2280.162
5,0.0,524.6097
6,0.0,2683.7898
7,709.0,5613.08
8,1058.0,2572.6865
9,1504.0,3153.187
10,2072.0,18521.195
11,2763.0,12148.203
12,2790.0,15162.324
13,4325.0,14718.295
14,3424.0,20539.727
15,3784.0,29695.316
16,4426.0,24608.479
17,4478.0,25769.086
18,4505.0,29642.684
19,7543.0,33244.234
20,4945.0,32317.701
21,4599.0,41192.58
22,6236.0,41714.766
23,6094.0,45237.586
24,9351.0,47053.15
25,9848.0,39800.477
26,10082.0,41147.34
27,11320.0,48589.945
28,5548.0,41362.914
29,5875.999999999999,39520.297
30,3226.9999999999995,36556.242
31,3226.0,38506.605
32,1680.0,24485.297
33,1804.0,30282.127
34,1336.0,28602.287
35,1968.0,24588.531
36,2104.0,22242.613
37,3011.0,23055.72
38,2139.0,21953.652
39,736.0,10003.529
40,0.0,11509.554
41,0.0,14933.471
42,0.0,6303.336
43,0.0,6532.824
44,0.0,9975.875
45,0.0,5389.348
46,0.0,3066.7695
47,0.0,675.09344
48,0.0,1284.8057
49,0.0,-3985.8376
50,0.0,-5088.8926
51,0.0,-7555.076
52,0.0,-11356.125
53,0.0,-9239.988
54,0.0,-2947.5444
55,0.0,-6212.782
56,0.0,-5841.537
57,0.0,-3190.6743
58,0.0,-603.8766
59,0.0,-446.2205
60,0.0,2324.4485
61,0.0,4655.032
62,709.0,7775.73
63,1058.0,9985.266
64,1504.0,6802.2534
65,2072.0,8030.204
66,2763.0,23378.951
67,2790.0,17345.205
68,4325.0,21295.39
69,3424.0,20686.51
70,3784.0,25208.707
71,4426.0,34908.445
72,4478.0,29392.771
73,4505.0,27964.064
74,7543.0,33149.188
75,4945.0,35285.58
76,4599.0,34758.062
77,6236.0,42500.938
78,6094.0,41087.35
79,9351.0,44577.863
80,9848.0,46389.54
81,10082.0,37309.04
82,11320.0,37654.34
83,5548.0,45566.156
84,5875.999999999999,37328.832
85,3226.9999999999995,34778.42
86,3226.0,31245.668
87,1680.0,33548.97
88,1804.0,18057.016
89,1336.0,23390.617
90,1968.0,22789.287
91,2104.0,19236.752
92,3011.0,18519.098
93,2139.0,17926.154
94,736.0,16172.414
95,0.0,4972.5537
96,0.0,8649.625
97,0.0,11137.617
98,0.0,2054.8013
99,0.0,3504.1816
100,0.0,7480.1875
101,0.0,3377.1345
102,0.0,2445.1396
103,0.0,-281.87524
104,0.0,590.8693
105,0.0,-4218.6943
106,0.0,-4827.8823
107,0.0,-6906.9766
108,0.0,-9921.649
109,0.0,-9077.954
110,0.0,-1503.511
111,0.0,-5080.162
112,0.0,-3182.9253
113,0.0,-1864.267
114,0.0,224.25392
115,0.0,1326.9048
116,0.0,5008.32
117,709.0,5941.915
118,1058.0,8701.992
119,1504.0,11909.773
120,2072.0,9277.943
121,2763.0,10728.003
122,2790.0,25961.174
123,4325.0,19400.879
124,3424.0,25546.588
125,3784.0,22705.281
126,4426.0,27123.63
127,4478.0,35677.582
128,4505.0,29226.736
129,7543.0,28457.0
130,4945.0,32736.488
131,4599.0,35555.445
132,6236.0,34330.383
133,6094.0,41592.855
134,9351.0,39337.562
135,9848.0,42809.56
136,10082.0,43405.03
137,11320.0,34922.773
138,5548.0,35213.305
139,5875.999999999999,41941.91
140,3226.9999999999995,34564.6
141,3226.0,30975.66
142,1680.0,28428.055
143,1804.0,28854.639
144,1336.0,14768.136
145,1968.0,19347.34
146,2104.0,19082.209
147,3011.0,16024.747
148,2139.0,15402.367
149,736.0,13710.23
150,0.0,15097.227
151,0.0,2814.4722
152,0.0,7126.436
153,0.0,10338.371
154,0.0,529.476
155,0.0,970.5381
156,0.0,5947.218
157,0.0,3077.5498
158,0.0,1063.4517
159,0.0,-670.6131
160,0.0,1906.7754
161,0.0,-3018.6123
162,0.0,-4245.8687
163,0.0,-6008.6826
164,0.0,-8080.65
165,0.0,-7938.641
166,0.0,68.10156
167,0.0,-2175.5305
168,0.0,-3131.4756
169,0.0,-2266.0833
170,0.0,1749.5841
171,0.0,2734.436
172,709.0,5925.7935
173,1058.0,7269.193
174,1504.0,10593.212
175,2072.0,13781.068
176,2763.0,11136.0205
177,2790.0,12700.72
178,4325.0,27903.357
179,3424.0,22284.354
180,3784.0,27118.094
181,4426.0,24453.635
182,4478.0,29205.287
183,4505.0,37416.27
184,7543.0,31382.172
185,4945.0,30244.566
186,4599.0,33966.6
187,6236.0,34549.01
188,6094.0,33730.26
189,9351.0,39348.438
190,9848.0,39673.477
191,10082.0,41183.04
192,11320.0,43687.42
193,5548.0,33188.977
194,5875.999999999999,32812.195
195,3226.9999999999995,39466.234
196,3226.0,33256.113
197,1680.0,29560.455
198,1804.0,26640.633
199,1336.0,26924.572
200,1968.0,11588.918
201,2104.0,18238.611
202,3011.0,18023.164
203,2139.0,13926.747
204,736.0,14140.903
205,0.0,12691.623
206,0.0,12889.101
207,0.0,2019.1088
208,0.0,4118.5747
209,0.0,8220.164
210,0.0,-287.2422
211,0.0,231.60608
212,0.0,4816.398
213,0.0,766.00757
214,0.0,-698.51105
215,0.0,-1170.911
216,0.0,873.3036
217,0.0,-4079.1323
218,0.0,-4690.986
219,0.0,-6780.8784
220,0.0,-9269.006
221,0.0,-7993.711
222,0.0,1319.3474
223,0.0,-1539.3936
224,0.0,-1833.8188
225,0.0,584.26996
226,0.0,3578.5083
227,709.0,5270.544
228,1058.0,7941.1514
229,1504.0,9557.31
230,2072.0,13688.165
231,2763.0,14659.154
232,2790.0,14406.114
233,4325.0,15285.809
234,3424.0,30076.918
235,3784.0,24446.127
236,4426.0,29385.14
237,4478.0,25235.016
238,4505.0,29612.158
239,7543.0,37945.03
240,4945.0,31651.988
241,4599.0,30680.0
242,6236.0,33319.117
243,6094.0,33314.297
244,9351.0,32565.312
245,9848.0,37894.836
246,10082.0,39429.695
247,11320.0,38790.07
248,5548.0,41800.574
249,5875.999999999999,32008.902
250,3226.9999999999995,31280.83
251,3226.0,37185.934
252,1680.0,30712.207
253,1804.0,28009.35
254,1336.0,24415.256
255,1968.0,24936.643
256,2104.0,11064.516
257,3011.0,16327.656
258,2139.0,16097.965
259,736.0,12553.267
260,0.0,11951.126
261,0.0,11792.527
262,0.0,11448.734
263,0.0,1168.3097
264,0.0,2987.9414
265,0.0,6438.349
266,0.0,-1061.033
267,0.0,365.0094
268,0.0,4028.438
269,0.0,-168.39154
270,0.0,-594.60767
271,0.0,-1609.8052
272,0.0,144.17484
273,0.0,-3828.8838
274,0.0,-3739.0208
275,0.0,-6789.429
276,0.0,-8133.9136
277,0.0,-5945.016
278,0.0,2315.8894
279,0.0,-248.21002
280,0.0,-1215.6769
281,0.0,2275.2908
282,709.0,5050.8716
283,1058.0,7235.954
284,1504.0,9740.298
285,2072.0,12509.1455
286,2763.0,15971.936
287,2790.0,17755.197
288,4325.0,16899.164
289,3424.0,18414.059
290,3784.0,32054.03
291,4426.0,27377.275
292,4478.0,31355.207
293,4505.0,28960.676
294,7543.0,31541.404
295,4945.0,39185.145
296,4599.0,32500.504
297,6236.0,32016.258
298,6094.0,32592.107
299,9351.0,33651.477
300,9848.0,33923.414
301,10082.0,38460.49
302,11320.0,41288.324
303,5548.0,38028.895
304,5875.999999999999,40153.043
305,3226.9999999999995,30044.795
306,3226.0,29009.246
307,1680.0,35781.344
308,1804.0,27951.098
309,1336.0,25787.322
310,1968.0,23713.998
311,2104.0,23675.352
312,3011.0,9360.054
