x, y
2023-10-08 06:24:53, 9.99893
2023-10-08 06:49:46, 24.99939
2023-10-08 07:14:39, 39.99985
2023-10-08 07:40:55, 69.99939
2023-10-08 07:53:21, 339.9994
2023-10-08 08:05:48, 594.99895
2023-10-08 08:18:14, 954.99897
2023-10-08 08:23:46, 1269.99898
2023-10-08 08:40:22, 1584.99899
2023-10-08 08:44:30, 1854.999
2023-10-08 08:52:48, 2139.99947
2023-10-08 08:59:43, 2349.99902
2023-10-08 09:19:04, 2259.99902
2023-10-08 09:30:08, 2454.99948
2023-10-08 09:39:48, 2694.99995
2023-10-08 09:48:06, 2799.99904
2023-10-08 09:56:24, 2934.99904
2023-10-08 10:04:42, 3144.99997
2023-10-08 10:18:31, 3264.99951
2023-10-08 10:29:35, 3564.99907
2023-10-08 10:44:47, 3594.99998
2023-10-08 10:54:28, 3669.99953
2023-10-08 11:08:17, 3774.99999
2023-10-08 11:16:35, 3459.99998
2023-10-08 11:16:35, 3324.99997
2023-10-08 11:22:07, 3189.99997
2023-10-08 11:22:07, 3009.99996
2023-10-08 11:22:07, 2859.9995
2023-10-08 11:22:07, 2694.99995
2023-10-08 11:29:01, 2514.99994
2023-10-08 11:29:01, 2349.99902
2023-10-08 11:29:01, 2109.99993
2023-10-08 11:33:10, 1869.99946
2023-10-08 11:49:46, 1809.999
2023-10-08 11:53:55, 1989.99901
2023-10-08 11:56:40, 2304.99902
2023-10-08 11:58:03, 2514.99994
2023-10-08 12:04:58, 2844.99904
2023-10-08 11:58:03, 2679.99949
2023-10-08 12:06:21, 3084.99951
2023-10-08 12:06:21, 3534.99952
2023-10-08 12:10:30, 3339.99906
2023-10-08 12:14:39, 3819.99999
2023-10-08 12:14:39, 4135.00001
2023-10-08 12:16:02, 4389.99956
2023-10-08 12:18:48, 4585.00002
2023-10-08 12:27:05, 4689.99911
2023-10-08 12:38:09, 4749.99957
2023-10-08 12:40:55, 5004.99912
2023-10-08 12:40:55, 5289.99959
2023-10-08 12:40:55, 5469.9996
2023-10-08 12:45:04, 5649.99961
2023-10-08 12:46:27, 5829.99961
2023-10-08 12:49:12, 6144.99962
2023-10-08 12:49:12, 6324.99963
2023-10-08 12:53:21, 6579.99918
2023-10-08 12:53:21, 6894.99919
2023-10-08 12:57:30, 7134.99966
2023-10-08 12:57:30, 7299.99921
2023-10-08 12:57:30, 7600.00014
2023-10-08 12:58:53, 7809.99969
2023-10-08 13:00:16, 7929.99923
2023-10-08 13:00:16, 8169.9997
2023-10-08 13:21:00, 8199.99924
2023-10-08 13:22:23, 7915.00015
2023-10-08 13:23:46, 8034.9997
2023-10-08 13:21:00, 7735.00014
2023-10-08 13:25:09, 7449.99967
2023-10-08 13:19:37, 7555.00014
2023-10-08 13:23:46, 7285.00013
2023-10-08 13:23:46, 7060.00012
2023-10-08 13:25:09, 6864.99965
2023-10-08 13:27:55, 6655.0001
2023-10-08 13:33:27, 6489.99918
2023-10-08 13:30:41, 6295.00009
2023-10-08 13:33:27, 6115.00008
2023-10-08 13:32:04, 5935.00007
2023-10-08 13:30:41, 5814.99915
2023-10-08 13:33:27, 5665.00006
2023-10-08 13:30:41, 5485.00006
2023-10-08 13:32:04, 5350.00005
2023-10-08 13:33:27, 5139.99913
2023-10-08 13:34:50, 4945.00004
2023-10-08 13:34:50, 4810.00003
2023-10-08 13:33:27, 4569.99956
2023-10-08 13:34:50, 4315.00001
2023-10-08 13:36:13, 4149.99909
2023-10-08 13:40:22, 3969.99908
