,date,actual,pred
107,2023-07-07 09:00:00,14544.0,12778.529
108,2023-07-07 09:15:00,14722.0,13553.494
109,2023-07-07 09:30:00,12781.999999999998,14228.465
110,2023-07-07 09:45:00,17084.0,14763.422
111,2023-07-07 10:00:00,15309.0,15199.736
112,2023-07-07 10:15:00,18380.0,15565.1
113,2023-07-07 10:30:00,18594.0,15930.079
114,2023-07-07 10:45:00,18805.0,16213.782
115,2023-07-07 11:00:00,18825.0,16462.129
116,2023-07-07 11:15:00,18804.0,16220.159
117,2023-07-07 11:30:00,18678.0,15857.105
118,2023-07-07 11:45:00,18422.0,15532.449
119,2023-07-07 12:00:00,18202.0,15778.008
120,2023-07-07 12:15:00,17947.0,16038.874
121,2023-07-07 12:30:00,17762.0,16238.822
122,2023-07-07 12:45:00,17324.0,16120.615
123,2023-07-07 13:00:00,16919.0,15883.533
124,2023-07-07 13:15:00,16400.0,15498.962
125,2023-07-07 13:30:00,15861.0,15126.638
126,2023-07-07 13:45:00,15275.000000000002,14707.992
127,2023-07-07 14:00:00,14669.0,14342.2
128,2023-07-07 14:15:00,13837.0,13872.663
129,2023-07-07 14:30:00,13178.0,13456.5
130,2023-07-07 14:45:00,12350.0,13038.21
131,2023-07-07 15:00:00,11540.0,12559.395
132,2023-07-07 15:15:00,10674.0,11995.209
133,2023-07-07 15:30:00,9708.0,11354.864
134,2023-07-07 15:45:00,8630.0,10507.305
135,2023-07-07 16:00:00,7575.0,9375.874
136,2023-07-07 16:15:00,6503.999999999999,7997.5454
137,2023-07-07 16:30:00,5477.0,6418.2476
138,2023-07-07 16:45:00,4458.0,4858.313
139,2023-07-07 17:00:00,3485.0,3498.933
140,2023-07-07 17:15:00,2546.0,2449.179
141,2023-07-07 17:30:00,1773.9999999999998,1696.2672
142,2023-07-07 17:45:00,1052.0,1164.1704
143,2023-07-07 18:00:00,548.0,802.1299
144,2023-07-07 18:15:00,0.0,558.445
145,2023-07-07 18:30:00,0.0,403.03915
146,2023-07-07 18:45:00,0.0,309.66577
147,2023-07-07 19:00:00,1418.0,262.9836
148,2023-07-07 19:15:00,1066.0,246.11462
149,2023-07-07 19:30:00,1006.0000000000001,272.0172
150,2023-07-07 19:45:00,1144.0,319.50058
151,2023-07-08 06:00:00,1228.0,387.38934
152,2023-07-08 06:15:00,1481.0,895.86005
153,2023-07-08 06:30:00,2836.0,1052.921
154,2023-07-08 06:45:00,3288.0,1285.8733
155,2023-07-08 07:00:00,3298.9999999999995,1562.2595
156,2023-07-08 07:15:00,3674.0,2030.9315
157,2023-07-08 07:30:00,4756.0,3000.1116
158,2023-07-08 07:45:00,5920.000000000001,4860.209
159,2023-07-08 08:00:00,7372.999999999999,7655.7676
160,2023-07-08 08:15:00,10234.0,10933.37
161,2023-07-08 08:30:00,12437.0,13433.456
162,2023-07-08 08:45:00,13201.0,14041.281
163,2023-07-08 09:00:00,13719.0,14751.687
164,2023-07-08 09:15:00,14643.999999999998,15413.016
165,2023-07-08 09:30:00,15398.0,15936.542
166,2023-07-08 09:45:00,15992.0,16337.381
167,2023-07-08 10:00:00,16571.0,16515.197
168,2023-07-08 10:15:00,17098.0,16443.85
169,2023-07-08 10:30:00,17466.0,16312.519
170,2023-07-08 10:45:00,17724.0,16118.06
171,2023-07-08 11:00:00,17686.0,15905.339
172,2023-07-08 11:15:00,17748.0,15686.076
173,2023-07-08 11:30:00,17684.0,15483.255
174,2023-07-08 11:45:00,17561.0,15266.955
